SKU,Month,Warehouse Code,Warehouse Name,Product Type,SKU Status,Year till SKU was Active,ABC classification,XYZ classification,Class,Product Group,Inbound Pallets,Inventory Pallets,outbound Pallets,cross transfer Pallets,Inbound Transportation Cost,Inbound Handlings Cost,Inventory Cost,Outbound Handlings Cost,Outbound Transportation Cost,Inter warehouse Cost,Administrative Cost,Total cost
2109092,1,4156,Krefeld,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,3,1.0,0.029166667,0.0,65.08,17.585737119833638,12.664774654275131,0.3492000366873159,1.0279009450957264,0.0,0.6662201351187129,97.37383289101052
2109092,1,4164,Meerane,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,2,0.9545454545454546,0.064814815,0.0,39.98,13.556060431654675,12.64692513221703,0.87284284,4.795705273673501,0.0,1.8804575005309143,73.73199118
2109092,1,4177,Dreieich,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,0.7272727272727273,0.023148148,0.0,0.0,0.0,16.48092259140411,0.3126569439854046,1.1369125177306856,0.0,0.6367415809331439,18.567233634053345
2109092,1,4135,Langenhagen,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,0.8636363636363636,0.045833333,0.0,0.0,0.0,10.42295388360617,0.5129436823267534,2.2551590131360006,0.0,0.953530439,14.144587017820296
2109092,2,4164,Meerane,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,2,1.0,0.068518519,0.0,40.010000000000005,14.152932420872538,14.16259021130246,0.820295993,5.899370922839467,0.0,2.222501662508133,77.26769121045852
2109092,2,4177,Dreieich,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,0.9090909090909092,0.068981481,0.3703703703703703,0.0,0.0,15.937313772013637,0.8501472469726432,5.336855460079491,42.609288796203074,2.620212775615216,67.35381805088406
2109092,2,4156,Krefeld,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,1,1.0,0.036574074,0.0,17.51,6.6859890937019975,14.341814315748016,0.4131209883549541,1.6756548112193177,0.0,0.6909674631267139,41.31754667
2109092,2,4135,Langenhagen,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.065277778,0.0,0.0,0.0,11.51734072894392,0.6297747305097247,3.620673101578737,0.0,1.2341029483268098,17.00189150935919
2109092,3,4164,Meerane,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.064814815,0.0,0.0,0.0,16.84345580541808,0.7944609144616923,4.278052012022193,0.0,1.5417019225423776,23.457670654444343
2109092,3,4177,Dreieich,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,0.9565217391304348,0.027777778,0.0,0.0,0.0,16.409955401206084,0.31029872,1.1585449901296427,0.0,0.5298468742462701,18.408645985751
2109092,3,4156,Krefeld,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.031481481,0.0,0.0,0.0,16.149952115330123,0.2826202713591977,1.035993041167225,0.0,0.5018517649461476,17.970417192802692
2109092,3,4135,Langenhagen,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,0.9565217391304348,0.031481481,0.0,0.0,0.0,13.868000135007156,0.3105340596022166,1.2964951607275224,0.0,0.5717123291842164,16.046741684521113
2109092,4,4164,Meerane,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,2,1.0,0.1541666666666662,0.0,42.64,13.80508510020331,16.63344156672081,1.850583014639592,12.203844870010007,0.0,3.962952756702368,91.09590731
2109092,4,4177,Dreieich,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.039814815,0.0,0.0,0.0,16.065076656409193,0.4362444210967157,1.970822322946045,0.0,0.8224245045570073,19.29456790500896
2109092,4,4135,Langenhagen,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.051851852,0.0,0.0,0.0,15.139061456312044,0.5189002155872474,2.6418717139035577,0.0,0.8414342155264831,19.14126760132933
2109092,4,4156,Krefeld,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,0.9444444444444444,0.040277778,0.0,0.0,0.0,15.430254930063874,0.4262352052060338,1.6547928867665638,0.0,0.8721637185260686,18.38344674056254
2109092,5,4164,Meerane,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.1249999999999996,0.0,0.0,0.0,15.27537172640165,1.525730129276757,7.950008474855419,0.0,3.132958825061438,27.884069155595263
2109092,5,4177,Dreieich,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,0.9523809523809524,0.050462963,0.0,0.0,0.0,15.675914271545526,0.5652902936710299,1.9187384275805588,0.0,0.8516120936685735,19.011555086465687
2109092,5,4156,Krefeld,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.02962963,0.0,0.0,0.0,13.912806788936956,0.3334539789558833,0.9425722881533496,0.0,0.5899016265551544,15.778734682601344
2109092,5,4135,Langenhagen,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.026388889,0.0,0.0,0.0,13.598688243566963,0.2637178552200304,1.069283232280978,0.0,0.5183940992371248,15.450083430305096
2109092,6,4113,,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,3,0.0,0.0,0.0,237.93,0.0,0.0,0.0,0.0,0.0,0.0,237.93
2109092,6,4135,Langenhagen,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,1.0,0.095833333,0.1666666666666666,0.0,0.0,14.984698589633366,0.947508501,3.770798878028981,17.32290221721275,1.1992246601092422,38.22513284620025
2109092,6,4164,Meerane,Papier,Active,Still Active,C,X,CX,Papier_A-Marke,0,0.8636363636363636,0.096296296,0.0,0.0,0.0,17.064944759664357,1.078761174965404,5.684131169131661,0.0,2.274317867178428,26.10215497093985
